t,T_in,u,T_out
1.000000,28.960000,0.000000,28.340000
2.000000,28.960000,0.000000,28.340000
3.000000,28.960000,0.000000,28.340000
4.000000,28.960000,0.000000,28.340000
5.000000,28.960000,0.000000,28.340000
6.000000,28.960000,0.000000,28.340000
7.000000,28.960000,0.000000,28.340000
8.000000,28.960000,0.000000,28.340000
9.000000,28.960000,0.000000,28.340000
10.000000,28.960000,0.000000,28.340000
11.000000,28.960000,0.000000,28.340000
12.000000,28.960000,0.000000,28.340000
13.000000,28.960000,0.000000,28.340000
14.000000,28.960000,0.000000,28.340000
15.000000,28.960000,0.000000,28.340000
16.000000,28.960000,0.000000,28.340000
17.000000,28.960000,0.000000,28.340000
18.000000,28.960000,0.000000,28.340000
19.000000,28.960000,0.000000,28.340000
20.000000,28.960000,0.000000,28.340000
21.000000,28.960000,0.000000,28.340000
22.000000,28.960000,0.000000,28.340000
23.000000,28.960000,0.000000,28.340000
24.000000,28.470000,0.000000,28.340000
25.000000,28.470000,0.000000,28.340000
26.000000,28.960000,0.000000,28.340000
27.000000,28.960000,0.000000,28.340000
28.000000,28.470000,0.000000,28.340000
29.000000,28.960000,0.000000,28.340000
30.000000,28.470000,0.500000,28.340000
31.000000,28.960000,0.500000,28.340000
32.000000,29.450000,0.500000,28.340000
33.000000,29.940000,0.500000,28.340000
34.000000,29.940000,0.500000,28.340000
35.000000,30.430000,0.500000,28.340000
36.000000,30.910000,0.500000,28.340000
37.000000,30.910000,0.500000,28.340000
38.000000,31.400000,0.500000,28.340000
39.000000,31.400000,0.500000,28.340000
40.000000,31.890000,0.500000,28.340000
41.000000,31.890000,0.500000,28.340000
42.000000,32.380000,0.500000,28.340000
43.000000,32.380000,0.500000,28.340000
44.000000,32.870000,0.500000,28.340000
45.000000,32.870000,0.500000,28.340000
46.000000,33.360000,0.500000,28.340000
47.000000,33.360000,0.500000,28.340000
48.000000,33.840000,0.500000,28.340000
49.000000,33.840000,0.500000,28.340000
50.000000,33.840000,0.500000,28.340000
51.000000,33.840000,0.500000,28.340000
52.000000,34.330000,0.500000,28.340000
53.000000,34.330000,0.500000,28.340000
54.000000,34.330000,0.500000,28.340000
55.000000,34.820000,0.500000,28.340000
56.000000,34.820000,0.500000,28.340000
57.000000,34.820000,0.500000,28.340000
58.000000,34.820000,0.500000,28.340000
59.000000,35.310000,0.500000,28.340000
60.000000,35.310000,0.500000,28.340000
61.000000,35.310000,0.500000,28.340000
62.000000,35.310000,0.500000,28.340000
63.000000,35.800000,0.500000,28.340000
64.000000,35.800000,0.500000,28.340000
65.000000,35.800000,0.500000,28.340000
66.000000,35.800000,0.500000,28.340000
67.000000,36.290000,0.500000,28.340000
68.000000,36.290000,0.500000,28.340000
69.000000,36.290000,0.500000,28.340000
70.000000,36.290000,0.500000,28.340000
71.000000,36.290000,0.500000,28.340000
72.000000,36.290000,0.500000,28.340000
73.000000,36.770000,0.500000,28.340000
74.000000,36.770000,0.500000,28.340000
75.000000,36.770000,0.500000,28.340000
76.000000,36.770000,0.500000,28.340000
77.000000,36.770000,0.500000,28.340000
78.000000,36.770000,0.500000,28.340000
79.000000,36.770000,0.500000,28.340000
80.000000,36.770000,0.500000,28.340000
81.000000,36.770000,0.500000,28.340000
82.000000,36.770000,0.500000,28.340000
83.000000,36.770000,0.500000,28.340000
84.000000,37.260000,0.500000,28.340000
85.000000,37.260000,0.500000,28.340000
86.000000,37.260000,0.500000,28.340000
87.000000,37.260000,0.500000,28.340000
88.000000,37.260000,0.500000,28.340000
89.000000,37.260000,0.500000,28.340000
90.000000,37.260000,0.500000,28.340000
91.000000,37.260000,0.500000,28.340000
92.000000,37.260000,0.500000,28.340000
93.000000,37.750000,0.500000,28.340000
94.000000,37.750000,0.500000,28.340000
95.000000,37.750000,0.500000,28.340000
96.000000,37.750000,0.500000,28.340000
97.000000,37.750000,0.500000,28.340000
98.000000,37.750000,0.500000,28.340000
99.000000,37.750000,0.500000,28.340000
100.000000,38.240000,0.500000,28.830000
101.000000,38.240000,0.500000,28.830000
102.000000,38.240000,0.500000,28.830000
103.000000,38.240000,0.500000,28.830000
104.000000,38.240000,0.500000,28.830000
105.000000,38.240000,0.500000,28.830000
106.000000,38.730000,0.500000,28.830000
107.000000,38.240000,0.500000,28.830000
108.000000,38.240000,0.500000,28.830000
109.000000,38.730000,0.500000,28.830000
110.000000,38.730000,0.500000,28.830000
111.000000,38.730000,0.500000,28.830000
112.000000,38.730000,0.500000,28.830000
113.000000,38.730000,0.500000,28.830000
114.000000,38.730000,0.500000,28.830000
115.000000,38.730000,0.500000,28.830000
116.000000,38.730000,0.500000,28.830000
117.000000,38.730000,0.500000,28.830000
118.000000,38.730000,0.500000,28.830000
119.000000,38.730000,0.500000,28.830000
120.000000,38.730000,0.500000,28.830000
121.000000,38.730000,0.500000,28.830000
122.000000,39.220000,0.500000,28.830000
123.000000,38.730000,0.500000,28.830000
124.000000,39.220000,0.500000,28.830000
125.000000,39.220000,0.500000,28.830000
126.000000,39.220000,0.500000,28.830000
127.000000,39.220000,0.500000,28.830000
128.000000,39.220000,0.500000,28.830000
129.000000,39.220000,0.500000,28.830000
130.000000,39.220000,0.500000,28.830000
131.000000,39.220000,0.500000,28.830000
132.000000,39.220000,0.500000,28.830000
133.000000,39.220000,0.500000,28.830000
134.000000,39.220000,0.500000,28.830000
135.000000,39.220000,0.500000,28.830000
136.000000,39.220000,0.500000,28.830000
137.000000,39.220000,0.500000,28.830000
138.000000,39.220000,0.500000,28.830000
139.000000,39.220000,0.500000,28.830000
140.000000,39.220000,0.500000,28.830000
141.000000,39.220000,0.500000,28.830000
142.000000,39.220000,0.500000,28.830000
143.000000,39.700000,0.500000,29.320000
144.000000,39.220000,0.500000,29.320000
145.000000,39.700000,0.500000,28.830000
146.000000,39.220000,0.500000,28.830000
147.000000,39.220000,0.500000,29.320000
148.000000,39.220000,0.500000,28.830000
149.000000,39.220000,0.500000,28.830000
150.000000,39.220000,0.500000,29.320000
151.000000,39.220000,0.500000,29.320000
152.000000,39.220000,0.500000,28.830000
153.000000,39.700000,0.500000,28.830000
154.000000,39.700000,0.500000,29.320000
155.000000,39.700000,0.500000,29.320000
156.000000,39.700000,0.500000,29.320000
157.000000,39.700000,0.500000,29.320000
158.000000,39.700000,0.500000,29.320000
159.000000,39.700000,0.500000,29.320000
160.000000,39.700000,0.500000,29.320000
