t,T_in,u,T_out
1.000000,28.470000,0.000000,27.860000
2.000000,28.470000,0.000000,27.860000
3.000000,28.470000,0.000000,27.860000
4.000000,28.470000,0.000000,27.860000
5.000000,28.470000,0.000000,27.860000
6.000000,28.470000,0.000000,27.860000
7.000000,28.470000,0.000000,27.860000
8.000000,28.470000,0.000000,27.860000
9.000000,28.470000,0.000000,27.860000
10.000000,28.470000,0.000000,28.340000
11.000000,28.470000,0.000000,27.860000
12.000000,28.470000,0.000000,27.860000
13.000000,28.470000,0.000000,27.860000
14.000000,28.470000,0.000000,27.860000
15.000000,28.470000,0.000000,27.860000
16.000000,28.470000,0.000000,27.860000
17.000000,28.470000,0.000000,27.860000
18.000000,28.470000,0.000000,27.860000
19.000000,28.470000,0.000000,27.860000
20.000000,28.470000,0.000000,28.340000
21.000000,28.470000,0.000000,27.860000
22.000000,28.470000,0.000000,27.860000
23.000000,28.470000,0.000000,27.860000
24.000000,28.470000,0.000000,27.860000
25.000000,28.470000,0.000000,27.860000
26.000000,28.470000,0.000000,27.860000
27.000000,28.470000,0.000000,27.860000
28.000000,28.470000,0.000000,27.860000
29.000000,28.470000,0.000000,28.340000
30.000000,28.470000,1.000000,27.860000
31.000000,28.960000,1.000000,27.860000
32.000000,29.450000,1.000000,27.860000
33.000000,29.940000,1.000000,27.860000
34.000000,30.430000,1.000000,27.860000
35.000000,30.910000,1.000000,28.340000
36.000000,31.400000,1.000000,28.340000
37.000000,31.890000,1.000000,28.340000
38.000000,32.380000,1.000000,28.340000
39.000000,32.870000,1.000000,28.340000
